species,contrast_s_std,contrast_s_var,contrast_s_median,contrast_s_mean,mel_s_std,mel_s_var,mel_s_median,mel_s_mean,rolloff_min_s_std,rolloff_min_s_var,rolloff_min_s_median,rolloff_min_s_mean,rolloff_max_s_std,rolloff_max_s_var,rolloff_max_s_median,rolloff_max_s_mean,flatness_s_std,flatness_s_var,flatness_s_median,flatness_s_mean,bandwidth_s_std,bandwidth_s_var,bandwidth_s_median,bandwidth_s_mean,chroma_stft_s_std,chroma_stft_s_var,chroma_stft_s_median,chroma_stft_s_mean,rms_s_std,rms_s_var,rms_s_median,rms_s_mean
Aslan,15.825020763257625,250.4312821575349,17.929725554911364,23.448179903334964,70.05856,4908.2026,0.61962456,-5.194146,5.836806455459944,34.06830959849887,0.0,2.5919596354166665,682.6487791445646,466009.3556675646,3967.49267578125,4109.452311197917,0.00025060523,6.2802975e-08,1.033193e-07,3.8328508e-05,204.63246999500677,41874.44777625734,1112.018691232299,1134.6590996259797,0.31748608,0.100797415,0.18464649,0.33492285,0.08747663,0.0076521616,0.18776873,0.17828315
Aslan,16.121523914000385,259.99144742808664,16.20606087131513,21.719947937181153,64.59957,4173.1738000000005,-3.83792235,-13.437668,21.12646036503048,446.3273275552039,129.19921875,123.31436820652172,462.0424488131391,13739.68528439282,4855.7373046875,4822.3291733685655,0.000208986155,0.0028083285,1.45641485e-06,4.4293913e-05,154.3479569546268,23823.291816067325,1112.018691232299,1134.6590996259797,0.28308047000000003,0.0801369545,0.39333477,0.45471606,0.033339918,0.0011115501,0.06694928,0.0661999
Aslan,18.243708180367967,332.83288817042506,16.254145458929315,21.717630309811483,65.467255,4285.962,-3.6954122,-2.7324338,40.60353440401924,1648.647006098374,10.7666015625,34.516457950367645,229.1001090322312,52486.85995858021,4920.3369140625,4822.487505744485,0.00016736708,2.8011737e-08,1.881291e-06,4.4293916e-05,200.87671762909557,40351.45568543938,1223.983572267694,1195.626010169312,0.28308047000000003,0.0801369545,0.39333477,0.45471606,0.08003373999999999,0.0064607968,0.085749954,0.15591224
Aslan,16.418027064743143,269.5516126986384,18.70591987353308,25.55091979687336,81.74942,6682.9673,-2.594542,-7.9734135,0.0,0.0,0.0,0.0,458.7383502204522,210440.8739629823,3951.3427734375,4822.3291733685655,2.1931344e-05,4.8098386e-10,2.5479702e-07,1.6284346e-06,169.25115703217296,8128.176714066814,1112.018691232299,1134.6590996259797,0.29937565,0.08962578,0.32916775,0.3949533,0.039074868,0.0015268454,0.062092487,0.07226507
Aslan,11.47717383672003,131.7255192782908,16.22011649329012,20.137992356944547,64.59957,4173.1738000000005,-6.5388613,-2.405918,23.84736119255557,568.6966358482056,96.8994140625,88.30904047539893,951.8729694279908,906062.1499276608,6842.17529296875,7262.530907164229,0.02194005,0.00048136583,0.00078697497,0.0054254252,169.25115703217296,28774.27741862271,1168.890139256118,1301.8204385022789,0.2985357,0.08912356,0.32552487,0.41583484,0.09405076,0.008845544,0.095097197,0.137277745
Aslan,16.121523914000385,259.99144742808664,16.114859026307002,21.719947937181153,57.992462,3363.1257,0.69736993,-3.6310663,27.7086055945104,767.7668239921331,43.06640625,53.3843994140625,776.3092832024549,602656.1031863093,4855.7373046875,4822.3291733685655,0.02065101,0.00042646425,0.010572045,0.01844109,169.25115703217296,133750.2890951339,1112.018691232299,1134.6590996259797,0.28308047000000003,0.0801369545,0.39333477,0.45471606,0.033448543,0.0011188051,0.04462272,0.053502068
Aslan,16.707683432583345,279.14668568341995,18.43334825393177,25.42608840110527,64.59957,4173.1738000000005,-0.56917214,-12.653012,0.0,0.0,0.0,0.0,465.3465474058261,216547.4091825228,4177.44140625,4063.258763363487,1.6268415e-05,2.6466132e-10,2.1692605e-07,1.5321676e-06,101.19604969152137,10240.640473168858,1112.018691232299,1134.6590996259797,0.3223271,0.103894755,0.39333477,0.45471606,0.08003373999999999,0.0003265374,0.041614998,0.047641452
Aslan,16.121523914000385,259.99144742808664,16.39059738794227,21.719947937181153,64.59957,4173.1738000000005,-6.0253725,-5.742502,64.8370232226534,4203.839580374897,172.265625,175.36237327550168,163.68690427018024,26793.402629555145,4855.7373046875,4822.3291733685655,0.000208986155,0.0037651584,1.45641485e-06,4.4293913e-05,169.25115703217296,8089.452052482449,1112.018691232299,1134.6590996259797,0.28308047000000003,0.0801369545,0.39333477,0.45471606,0.07259085,0.005269432,0.20107467,0.18701641
Aslan,17.128408527796374,293.3823786950876,16.449308925079364,23.158713730608834,86.78726,7532.0293,-2.660637,-10.965775,1.16771914771747,1.3635680079460144,0.0,0.128173828125,314.2943275698317,98780.92434257267,4209.7412109375,4197.564697265625,5.018047e-06,2.5180797e-11,3.6241858e-07,8.3049383e-07,101.65765396260822,10334.278609181396,829.8178013481113,842.0329419104476,0.30331987,0.09200294,0.37878716,0.44194543,0.049384546,0.0024388332,0.03596429,0.06401097
Aslan,16.121523914000385,259.99144742808664,15.538314881059446,21.719947937181153,60.41679,3650.1885,-6.046878,-4.253761,27.295341755512048,745.0356815501996,0.0,14.29359172952586,462.0424488131391,213494.14157275256,7434.33837890625,7604.376431169181,0.0015956358,2.5460536e-06,0.00062306476,0.0012777246,169.25115703217296,28774.27741862271,1367.6807625938816,1446.707749226755,0.28308047000000003,0.0801369545,0.4012007,0.45471606,0.11279832,0.01272346,0.1395179,0.1670971
